Name,Location
B.B. King Blues Club & Grill,"237 W 42nd St New York, NY 10036"
Music Box Theatre,"239 W 45th St New York, NY 10036"
SHAKE RATTLE & ROLL Dueling Pianos,"259 W 42nd St New York, NY 10036"
Bottom of the Hill,"1233 17th St San Francisco, CA 94107"
evenflow music & spirits,"1705 Mariposa St San Francisco, CA 94107"
Marcus Hoehne Band,"795 Folsom St San Francisco, CA 94107"
Amnesia Beer & Music Hall,"853 Valencia St San Francisco, CA 94110"
JamBase,"576 Sacramento St San Francisco, CA 94111"
Cafe Du Nord,"2174 Market St San Francisco, CA 94114"
Boom Boom Room,"1601 Fillmore St San Francisco, CA 94115"
The Fillmore,"1805 Geary Blvd San Francisco, CA 94115"
Club Deluxe,"1511 Haight St San Francisco, CA 94117"
The Independent,"628 Divisadero St San Francisco, CA 94117"
Onyx Room Nightclub,"852 Fifth Ave San Diego, CA 92101"
Bassmnt San Diego,"919 E 4th St San Diego, CA 92101"
Moonshine Beach,"1165 Garnet Ave San Diego, CA 92109"
Barrel Republic Pacific Beach,"1261 Garnet Ave San Diego, CA 92109"
Mission Bay Music,"2475 Grand Ave Room 113 San Diego, CA 92109"
Thrusters Lounge,"4633 Mission Blvd San Diego, CA 92109"
Dirty Birds,"4656 Mission Blvd San Diego, CA 92109"
Starry Eyed Music,"4758 Bayard St San Diego, CA 92109"
710 Beach Club,"710 Garnet Ave San Diego, CA 92109"
The Local Pacific Beach,"809 Thomas Ave San Diego, CA 92109"
Muldoon's Irish Pub,"202 Newport Center Dr Los Angeles, CA 92660"
Campus JAX,"3950 Campus Dr Los Angeles, CA 92660"
Bosscat Kitchen & Libations,"4647 MacArthur Blvd Los Angeles, CA 92660"
Bayside Restaurant,"900 Bayside Dr Los Angeles, CA 92660"
"Tommy Bahama Restaurant, Bar & Store","Corona del Mar Plaza Los Angeles, CA 92660"
Cruisers Pizza Bar Grill,"801 E Balboa Blvd Los Angeles, CA 92661"
The Village Inn,"127 Marine Ave Los Angeles, CA 92662"
The Blue Beet,"107 21st Pl Los Angeles, CA 92663"
Woody's Wharf,"2318 Newport Blvd Los Angeles, CA 92663"
On the Rocks Bar & Grill,"2332 West Coast Hwy Los Angeles, CA 92663"
Cole's Bar,"2338 N Milwaukee Ave Chicago, IL 60647"
Logan 11 Bar & Kitchen,"2230 N California Ave Chicago, IL 60647"
Innjoy Logan Square,"2200 N Milwaukee Ave Chicago, IL 60647"
Concord Music Hall,"2051 N Milwaukee Ave Chicago, IL 60647"
Joe's on Weed St.,"940 W Weed St Chicago, IL 60642"
Zebra Lounge,"1220 N State Pkwy Chicago, IL 60610"
The Original Mother's,"26 W Division St Chicago, IL 60610"
Mom's Place - A Chicago Gathering Spot,"650 N Dearborn St Chicago, IL 60654"
Winter's Jazz Club,"465 N McClurg Ct Chicago, IL 60611"
Redhead Piano Bar,"16 W Ontario St Chicago, IL 60654"
Raven Lounge,"1718 Sansom St Philadelphia , PA 19103"
The Library Bar,"210 W Rittenhouse Square Philadelphia , PA 19103"
Smiths Restaurant & Bar,"39 S 19th St Philadelphia , PA 19103"
Brickwall Tavern Philadelphia,"1213 Sansom St Philadelphia , PA 19107"
Fergie's Pub,"1214 Sansom St Philadelphia , PA 19107"
Porta Philadelphia,"1216 Chestnut St Philadelphia , PA 19107"
Time,"1315 Sansom St Philadelphia , PA 19107"
Franky Bradley's,"1320 Chancellor St Philadelphia , PA 19107"
PHS Pop Up Garden,"1438 South St Philadelphia , PA 19103"
X O Lounge,"1437 South St Philadelphia , PA 19146"
Star Bar,"600 W 6th St Austin, TX 78701"
Tellers Austin,"607 Trinity St Austin, TX 78701"
Rustic Tap,"613 W 6th St Austin, TX 78701"
Key Bar,"617 W 6th St Austin, TX 78701"
Pop,"620 W 6th St #1 Austin, TX 78701"
WYLD Bar,"706 W 6th St Austin, TX 78701"
The Dogwood,"715 W 6th St Austin, TX 78701"
Green Light Social,"720 W 6th St Austin, TX 78701"
Parker Jazz Club,"117 W 4th St #107b Austin, TX 78701"
Cedar Street Courtyard,"208 W 4th St suite c Austin, TX 78701"
Mama Tried Deep Ellum,"215 Henry St Dallas, TX 75226"
The Door Clubs,"2513 Main St Dallas, TX 75226"
The Prophet Bar,"2548 Elm St Dallas, TX 75226"
Louie Louie's Dueling Piano Bar,"2605 Elm St Dallas, TX 75226"
RBC,"2617 Commerce St Dallas, TX 75226"
Adair's Saloon,"2624 Commerce St Dallas, TX 75226"
Twilite Lounge,"2640 Elm St Dallas, TX 75226"
Trees,"2709 Elm St Dallas, TX 75226"
Will Call Bar,"2712 Main St Dallas, TX 75226"
The Bomb Factory,"2713 Canton St Dallas, TX 75226"
House The Hill,"400 Rusk St Houston, TX 77002"
Cezanne,"500 Louisiana St Houston, TX 77002"
Houston Underground,"850 McKee St Houston, TX 77002"
Sambuca,"909 Texas Ave Houston, TX 77002"
Warehouse Live,"813 St Emanuel St Houston, TX 77003"
Anderson Fair,"2007 Grant St Houston, TX 77006"
The Patio At The Pit Room,"1205 Richmond Ave Houston, TX 77006"
Michael's Outpost,"1419 Richmond Ave Houston, TX 77006"
MyOnlineTown,"5090Richmond Ave Houston, TX 77056"
The Amp Room,"2407 N St Mary's St San Antonio, TX 78212"
Paper Tiger,"2410 N St Mary's St San Antonio, TX 78212"
Rumble,"2410 N St Mary's St #3736 San Antonio, TX 78212"
The Mix,"2423 N St Mary's St San Antonio, TX 78212"
Jandros Garden Patio,"2623 N St Mary's St San Antonio, TX 78212"
Limelight,"2719 N St Mary's St San Antonio, TX 78212"
Gallery nightclub,"2726 N St Mary's St San Antonio, TX 78212"
The Squeezebox,"2806 N St Mary's St San Antonio, TX 78212"
Slackers Bar,"2809 N St Mary's St San Antonio, TX 78212"
Tycoon Flats,"2926 N St Mary's St San Antonio, TX 78212"
